pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2,pl_density,pl_rade,pl_bmasse
Kepler-10,c,2011,285.679394,50.241299,0.00041447443252547764,2455062.2664799998,0.00081,-0.00081,1,0.2874,2,0,1,Kepler,89.59,0.25,-0.43,,0.91,0.02,-0.02,1.06,0.01,-0.01,5627.0,44.0,-44.0,10.94,9.889,9.562999999999999,0.241,0.0019,-0.0019,0.21,0.008,-0.004,0.054,0.006,-0.006,584.0,45.294301,4.8e-05,-4.8e-05,0.0,,,7.231259701282178,2.353885953497123,17.16273395611244
Kepler-11,b,2010,297.115123,41.909138,0.03013,2455589.7378,0.0026,-0.0047,1,0.1715,6,0,1,Kepler,89.64,0.36,-0.18,,0.96,0.03,-0.03,1.06,0.02,-0.02,5663.0,55.0,-66.0,14.2,12.548,12.237,0.091,0.001,-0.001,0.161,0.003,-0.004,0.006,0.004,-0.003,931.9918099382131,10.3039,0.0006,-0.001,0.045,0.068,-0.042,1.7830014879466207,1.8046458976811277,1.9069704395680487
Kepler-11,c,2010,297.115123,41.909138,0.07508,2455583.3494,0.0014,-0.0019,1,0.1893,6,0,1,Kepler,89.59,0.41,-0.16,,0.96,0.03,-0.03,1.06,0.02,-0.02,5663.0,55.0,-66.0,14.2,12.548,12.237,0.107,0.001,-0.001,0.256,0.004,-0.005,0.009,0.009,-0.005,859.4901486665212,13.0241,0.0013,-0.0008,0.026,0.063,-0.013,0.6652742236214304,2.8694990671203024,2.860455659352073
Kepler-11,d,2010,297.115123,41.909138,0.0885,2455594.0069,0.0022,-0.0014,1,0.2328,6,0,1,Kepler,89.67,0.13,-0.16,,0.96,0.03,-0.03,1.06,0.02,-0.02,5663.0,55.0,-66.0,14.2,12.548,12.237,0.155,0.001,-0.001,0.278,0.005,-0.006,0.023,0.003,-0.005,714.1130062151024,22.6845,0.0009,-0.0009,0.004,0.007,-0.002,1.3276131076163233,3.1160966432009536,7.31005335167752
Kepler-11,f,2010,297.115123,41.909138,0.0548,2455618.271,0.0041,-0.0038,1,0.268,6,0,1,Kepler,89.47,0.04,-0.04,,0.96,0.03,-0.03,1.06,0.02,-0.02,5663.0,55.0,-66.0,14.2,12.548,12.237,0.25,0.002,-0.002,0.222,0.004,-0.006,0.006,0.003,-0.003,562.2931433871961,46.6888,0.0027,-0.0032,0.013,0.011,-0.009,0.6800962972303349,2.488393722268387,1.9069704395680487
Kepler-11,g,2010,297.115123,41.909138,0.1006,2455593.8021,0.003,-0.0021,1,0.3945,6,0,1,Kepler,89.87,0.05,-0.06,,0.96,0.03,-0.03,1.06,0.02,-0.02,5663.0,55.0,-66.0,14.2,12.548,12.237,0.466,0.004,-0.004,0.297,0.005,-0.006999999999999999,0.079,,,411.85072396513795,118.3807,0.001,-0.0006,0.15,,,3.7396919255405385,3.329067277088788,25.108444120979307
Kepler-12,b,2011,286.243425,50.040382,0.01483223623564897,2455004.00915,1e-05,-1e-05,1,,1,0,1,Kepler,88.796,0.08800000000000001,-0.07400000000000001,,1.17,0.05,-0.05,1.48,0.03,-0.03,5947.0,100.0,-100.0,13.8,12.405999999999999,12.107000000000001,0.0553,0.001,-0.0012,1.754,0.031,-0.036000000000000004,0.432,0.053,-0.051,1480.0,4.4379629,6e-07,-6e-07,0.01,,,0.09928258197458785,19.660552202066444,137.30187164889952
KOI-13,b,2011,286.971199,46.868362,0.007973995246555319,2454953.56596,2e-05,-2.9999999999999997e-05,1,,1,0,1,Kepler,86.77,0.048,-0.052000000000000005,5.0,1.72,0.1,-0.1,1.74,0.04,-0.04,7650.0,250.0,-250.0,9.958,9.466000000000001,9.455,0.036410000000000005,0.0008699999999999999,-0.0008699999999999999,1.5119999999999998,0.035,-0.035,9.28,0.16,-0.16,2550.0,1.763588,1e-06,-1e-06,0.00064,0.00011999999999999999,-0.00016,3.329436114559252,16.947978865179284,2949.4476131985816
Kepler-15,b,2011,296.200595,49.140125,1.1265,2454969.328651,8.4e-05,-9.6e-05,1,0.1458,1,0,1,Kepler,87.44,0.18,-0.2,,1.02,0.04,-0.05,0.99,0.06,-0.07,5515.0,122.0,-130.0,13.758,12.578,12.282,0.057139999999999996,0.00086,-0.00093,0.96,0.06,-0.07,0.66,0.08,-0.09,1251.0,4.942782,1.3e-06,-1.3e-06,0.06,,,0.9251418339347892,10.760621501701133,209.76674835248537
Kepler-16,b,2011,289.07571,51.757439,0.014209764000954634,2455212.12316,,,1,,1,0,1,Kepler,90.03200000000001,0.002,-0.002,318.0,0.69,0.0,-0.0,0.65,0.0,-0.0,4450.0,150.0,-150.0,11.762,9.815,9.137,0.7048,0.0011,-0.0011,0.754,0.003,-0.003,0.333,0.016,-0.016,206.07107631030374,228.776,0.02,-0.037,0.0069,0.001,-0.0015,0.9634036318968652,8.451571471127766,105.83685939602671
